FIGHTER,SIG_STR_ratio,SIG_STR_pct,TOTAL_STR_ratio,TD_ratio,TD_pct,SUB.ATT,REV.,CTRL_seconds,HEAD_ratio,BODY_ratio,LEG_ratio,DISTANCE_ratio,CLINCH_ratio,GROUND_ratio
Shara Magomedov,0.7528605841613972,0.75,0.7944451651963328,0.0,0.0,0.0,0.0,17,0.5016835016835016,0.9166666666666666,1.0,0.7249572649572649,0.9666666666666667,0.0
Shauna Bannon,0.4044270183320853,0.40166666666666667,0.5680891462457341,0.0,0.0,0.0,0.0,75,0.3040957549022065,0.48620915032679735,0.6833333333333332,0.3969939905786876,0.375,0.0
Shavkat Rakhmonov,0.615525899753841,0.6127272727272728,0.7078574731883188,0.3333333333333333,0.33272727272727276,6.0,0.0,1535,0.563227527611499,0.8541125541125542,0.2727272727272727,0.6070079813859718,0.5038961038961038,0.3383458646616541
Shawn Jordan,0.47258767962023296,0.4678947368421053,0.5674903217813512,0.24122807017543857,0.24105263157894738,0.0,0.0,1422,0.3922819460215582,0.38421052631578945,0.34210526315789475,0.2923980881944871,0.47076023391812866,0.371868215689726
Shayilan Nuerdanbieke,0.5094955300127714,0.506,0.5882710767808808,0.33555555555555555,0.3346666666666667,1.0,6.0,1896,0.48374209711777766,0.3555555555555555,0.43333333333333335,0.4424695811537917,0.2111111111111111,0.30846989268041897
Shayna Baszler,0.25698757763975155,0.25,0.37338969404186795,0.1111111111111111,0.11,1.0,0.0,116,0.2629399585921325,0.0,0.0,0.20634920634920637,0.4444444444444444,0.0
Sheila Gaff,0.4791666666666667,0.475,0.625,0.0,0.0,0.0,0.0,13,0.25,0.7083333333333333,0.0,0.225,0.7083333333333333,0.0
Sheldon Westcott,0.37440162316331826,0.37000000000000005,0.4941621247780668,0.5277777777777778,0.5266666666666667,0.0,0.0,946,0.30871489621489623,0.3333333333333333,0.3333333333333333,0.17361111111111113,0.42559523809523814,0.07534246575342465
Sherman Pendergarst,0.36363636363636365,0.36,0.6666666666666666,1.0,1.0,0.0,0.0,164,0.4,0.0,0.0,0.0,0.0,0.8
Sheymon Moraes,0.48715668432494696,0.4846153846153846,0.4852203199074406,0.0,0.0,0.0,0.0,190,0.281000224852836,0.7064155301711862,0.5705128205128205,0.46327862490653193,0.5145604395604395,0.13003663003663005
Shinsho Anzai,0.5475737992382014,0.5437500000000001,0.6304973605278483,0.2375,0.2375,0.0,0.0,739,0.448074769433465,0.7390873015873016,0.3833333333333333,0.428222049689441,0.8555803571428572,0.15625
Shonie Carter,0.44399865587562015,0.4376923076923077,0.5717837951477385,0.358974358974359,0.3576923076923077,0.0,4.0,1025,0.2791319791319791,0.569047619047619,0.8073870573870574,0.43469581250957773,0.6073260073260074,0.14423076923076922
Shunichi Shimizu,0.27777777777777773,0.27666666666666667,0.23232323232323235,0.0,0.0,0.0,1.0,109,0.0,0.0,0.5,0.27777777777777773,0.0,0.0
Sijara Eubanks,0.4408367329555096,0.4367857142857143,0.49629245475579353,0.3863095238095238,0.38607142857142857,3.0,2.0,2825,0.3828060083092587,0.6743833547404975,0.5035714285714286,0.3687861032219924,0.39598339335734295,0.4224861515579118
Silvana Gomez Juarez,0.375023231690745,0.37000000000000005,0.387109533984534,0.0,0.0,0.0,0.0,81,0.3342697886622035,0.4375,0.4666666666666666,0.3649317593849459,0.19444444444444442,0.09722222222222222
Simeon Thoresen,0.3884267358847991,0.38666666666666666,0.4701892066435284,0.2222222222222222,0.22166666666666668,3.0,1.0,425,0.2898231692781601,0.7111111111111111,0.4666666666666666,0.3011326058201058,0.5361111111111111,0.2708333333333333
Sione Latu,0.47368421052631576,0.47,0.5384615384615384,1.0,1.0,0.0,1.0,0,0.4,0.6666666666666666,1.0,0.5,0.4,0.6666666666666666
Sirwan Kakai,0.4247673944617918,0.42333333333333334,0.4970829242127417,0.48333333333333334,0.48333333333333334,0.0,0.0,433,0.34971754885315165,0.6555555555555556,0.4481481481481482,0.3818083522717263,0.6759259259259259,0.16666666666666666
Siyar Bahadurzada,0.39521958932184853,0.3915,0.5012983056034926,0.24166666666666664,0.2415,2.0,1.0,940,0.34727805478903473,0.43238095238095237,0.36642857142857144,0.32785799517696645,0.40440476190476193,0.27725198412698415
Soa Palelei,0.5574843239549121,0.554,0.6897403237180276,0.3777777777777777,0.37733333333333335,0.0,0.0,1286,0.4706347547726858,0.4388888888888889,0.4,0.3271225071225071,0.3462962962962963,0.44839181286549706
Sodiq Yusuff,0.5054814985218594,0.501904761904762,0.543090993819055,0.06349206349206349,0.06333333333333334,3.0,1.0,1028,0.42251139398273124,0.7033257747543461,0.7707248711450392,0.46427402295226244,0.5751282331114264,0.16141001855287568
Solomon Hutcherson,0.39285714285714285,0.39,0.5681818181818182,1.0,1.0,0.0,1.0,99,0.2777777777777778,0.5555555555555556,1.0,0.29411764705882354,0.5454545454545454,0.0
Song Kenan,0.4695019020406837,0.46529411764705886,0.4940716714142351,0.0392156862745098,0.03882352941176471,0.0,1.0,100,0.3642070471567154,0.6587407690348867,0.6565558624382153,0.4553768310720871,0.42002801120448174,0.18172268907563027
Song Yadong,0.43847676046571027,0.4348717948717949,0.4906766722386349,0.15384615384615385,0.15384615384615385,2.0,2.0,1635,0.34676667011221896,0.6762663974202435,0.718970898382663,0.3969042035141191,0.3595053095053095,0.3097222222222222
Spencer Fisher,0.44349713627206006,0.44,0.5752972563472049,0.13174603174603175,0.13166666666666668,10.0,2.0,1517,0.29563230969895116,0.7049558712373839,0.7492687867687868,0.3827281170335959,0.5776184800519535,0.309267128602104
Spike Carlyle,0.5553790011302326,0.5514285714285714,0.5671760100801454,0.49404761904761907,0.4928571428571429,1.0,4.0,806,0.5215303215303215,0.3904761904761905,0.5476190476190477,0.5798443619872191,0.44761904761904764,0.4785714285714286
Stanislav Nedkov,0.3845223345629026,0.3828571428571429,0.4315399877899878,0.2571428571428572,0.2571428571428572,0.0,0.0,548,0.35254865716176315,0.19523809523809524,0.2285714285714286,0.26194419796904267,0.46675943104514533,0.24021164021164018
Stefan Sekulic,0.5024628879892038,0.4983333333333333,0.5604545784751734,0.375,0.375,1.0,0.0,260,0.3005952380952381,0.746031746031746,0.938888888888889,0.4804818046304114,0.3055555555555555,0.16666666666666666
